epoch,batch,mean_grad_norm,std_grad
0,291,1.2296368e-10,4.9039878e-05
0,292,9.258656e-11,2.4884563e-05
0,293,2.939487e-10,0.00014367318
0,294,3.2778188e-10,4.1488962e-05
0,295,2.1536835e-10,0.00023487877
0,296,1.9426807e-10,1.757206e-05
0,297,1.0477379e-10,2.420247e-05
0,298,2.2937456e-10,5.880627e-05
0,299,2.1318555e-10,0.000160067
0,300,1.1496013e-10,4.994249e-05
0,301,1.6589183e-10,0.00018695144
0,302,4.3655746e-11,9.321799e-05
0,303,2.066372e-10,0.00045105687
0,304,2.1391315e-10,0.00012549105
0,305,8.440111e-11,0.00019115511
0,306,2.0827429e-10,8.276432e-05
0,307,2.6320776e-10,3.166754e-05
0,308,2.597517e-10,4.4454282e-05
0,309,2.2118911e-10,0.00027916915
0,310,2.1500454e-10,3.8790673e-05
0,311,1.9463187e-10,0.00015314053
0,312,1.8444553e-10,0.00012124885
0,313,7.4214766e-11,8.5132786e-05
0,314,1.6207195e-10,3.7010654e-05
0,315,3.259629e-10,0.00010261553
0,316,3.241439e-10,0.00012739777
0,317,2.1391315e-10,5.8498845e-05
0,318,2.5065675e-10,7.544847e-05
0,319,1.4479155e-10,6.511511e-05
0,320,1.2732926e-10,3.3526376e-05
0,321,1.2269083e-10,4.3197928e-05
0,322,2.7866917e-10,0.000174443
0,323,7.639755e-12,4.845218e-05
0,324,1.4315446e-10,3.7320944e-05
0,325,2.0372681e-10,0.00021387932
0,326,1.7353159e-10,2.7775848e-05
0,327,3.607056e-10,2.3056573e-05
0,328,1.10594554e-10,5.0940936e-05
0,329,1.3096724e-10,0.00019426574
0,330,1.315584e-10,4.9189635e-05
0,331,1.8480932e-10,3.3749584e-05
0,332,1.9026629e-10,5.749346e-05
0,333,1.8717401e-10,4.1648083e-05
0,334,6.87578e-11,7.057587e-05
0,335,1.7607818e-10,3.6080037e-05
0,336,2.0881999e-10,3.7762486e-05
0,337,2.732122e-10,4.4880708e-05
0,338,1.1957582e-10,2.583958e-05
0,339,2.404704e-10,0.00013147105
0,340,3.8198777e-11,3.4882523e-05
0,341,9.854375e-11,3.1103657e-05
0,342,2.0809239e-10,4.546028e-05
0,343,1.5288606e-10,2.8375885e-05
0,344,1.6734703e-10,0.00014335598
0,345,8.1490724e-11,0.00027827205
0,346,1.3387762e-10,0.0003245539
0,347,2.4519978e-10,6.7328576e-05
0,348,2.683919e-10,2.7821514e-05
0,349,2.3501343e-10,6.4740954e-05
0,350,7.803465e-11,3.614716e-05
0,351,1.2018972e-10,2.8918426e-05
0,352,2.553861e-10,4.9257964e-05
0,353,1.10594554e-10,0.0002948935
0,354,2.5902408e-10,7.7875105e-05
0,355,2.4519978e-10,3.5696277e-05
0,356,1.4297256e-10,0.00019091563
0,357,1.1787052e-10,5.4399763e-05
0,358,1.8226273e-10,3.3397308e-05
0,359,2.6193447e-10,0.00011377341
0,360,2.066372e-10,6.761489e-05
0,361,2.8676367e-10,3.502697e-05
0,362,2.3137545e-10,9.5814554e-05
0,363,1.702574e-10,0.00013348779
0,364,1.9572326e-10,2.391597e-05
0,365,1.4842953e-10,0.0002792312
0,366,2.750312e-10,0.00015136502
0,367,2.8230715e-10,0.00033533433
0,368,2.0227162e-10,7.44738e-05
0,369,1.5133991e-10,0.00012461469
0,370,1.3860699e-10,3.159605e-05
0,371,1.5752448e-10,5.4046905e-05
0,372,2.4410837e-10,5.940409e-05
0,373,1.209628e-10,3.696278e-05
0,374,2.4519978e-10,0.00011027937
0,375,1.9026629e-10,2.8259296e-05
0,376,3.754394e-10,6.6930814e-05
0,377,1.2514648e-10,0.0002434035
0,378,2.0954757e-10,0.00014014872
0,379,2.4610927e-10,3.3477463e-05
0,380,1.8044374e-10,0.0001362935
0,381,2.2509994e-10,2.3281604e-05
0,382,2.0881999e-10,0.00013551199
0,383,1.4442776e-10,7.594396e-05
0,384,1.389708e-10,6.339856e-05
0,385,3.0668162e-10,4.6131623e-05
0,386,9.622454e-11,8.773499e-05
0,387,1.5206751e-10,5.258933e-05
0,388,2.0372681e-10,0.000116036725
0,389,3.754394e-10,0.0002584656
0,390,1.9244908e-10,6.9217735e-05
